#CGMF SUMMARY FILE
#Generated: 2017-06-15 18:27
#Number of CGMF Output Files: 64
#
#File				# Hist	<TXE>	1sig		<TKE>	1sig		<J>		1sig		<nn>	n-mom2	n-mom3	<ng>	g-mom2	g-mom3	<En>	1sig		<Eg>	1sig
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
output22.txt		10000	33.154	9.934E+00	184.791	1.073E+01	10.861	6.038E+00	3.876	12.994	37.144	9.478	95.122	1008.66	1.872	1.574E+00	0.880	9.171E-03
output27.txt		10000	33.226	9.911E+00	184.713	1.076E+01	10.872	6.065E+00	3.887	13.056	37.397	9.478	94.919	1000.92	1.872	1.574E+00	0.882	9.150E-03
output30.txt		10000	33.040	9.934E+00	184.981	1.076E+01	10.780	6.031E+00	3.862	12.888	36.693	9.435	94.061	984.26	1.875	1.573E+00	0.887	9.177E-03
output11.txt		10000	33.263	9.842E+00	184.807	1.067E+01	10.839	6.079E+00	3.897	13.102	37.416	9.489	95.287	1007.92	1.871	1.579E+00	0.880	9.169E-03
output9.txt			10000	33.107	9.956E+00	184.858	1.079E+01	10.830	6.085E+00	3.865	12.912	36.844	9.508	95.844	1022.66	1.868	1.572E+00	0.884	9.175E-03
output52.txt		10000	33.319	9.920E+00	184.721	1.070E+01	10.893	6.063E+00	3.895	13.084	37.323	9.517	95.568	1009.78	1.869	1.583E+00	0.881	9.144E-03
output50.txt		10000	33.126	9.880E+00	184.829	1.073E+01	10.870	6.103E+00	3.879	12.971	36.876	9.488	95.248	1007.88	1.856	1.560E+00	0.878	9.155E-03
output58.txt		10000	33.236	9.792E+00	184.694	1.064E+01	10.861	6.153E+00	3.890	13.015	36.996	9.520	95.862	1018.29	1.861	1.582E+00	0.882	9.180E-03
output10.txt		10000	33.144	9.729E+00	184.888	1.052E+01	10.897	6.141E+00	3.868	12.856	36.188	9.480	94.947	1001.59	1.868	1.577E+00	0.884	9.190E-03
output2.txt			10000	33.321	9.975E+00	184.755	1.078E+01	10.879	6.058E+00	3.903	13.189	38.089	9.412	93.697	982.53	1.872	1.586E+00	0.883	9.171E-03
output32.txt		10000	33.324	9.768E+00	184.704	1.064E+01	10.824	6.042E+00	3.909	13.157	37.569	9.460	94.744	1001.77	1.872	1.580E+00	0.878	9.161E-03
output45.txt		10000	33.284	9.868E+00	184.760	1.071E+01	10.799	6.087E+00	3.896	13.081	37.336	9.416	93.939	989.63	1.875	1.574E+00	0.883	9.175E-03
output48.txt		10000	33.209	9.882E+00	184.799	1.068E+01	10.787	6.114E+00	3.884	12.990	36.885	9.459	94.507	991.90	1.869	1.584E+00	0.885	9.180E-03
output57.txt		10000	33.103	9.813E+00	184.911	1.065E+01	10.836	6.079E+00	3.875	12.932	36.673	9.477	95.038	1005.59	1.874	1.576E+00	0.886	9.157E-03
output36.txt		10000	33.184	9.793E+00	184.823	1.078E+01	10.860	6.056E+00	3.888	13.005	36.914	9.493	95.307	1009.22	1.855	1.578E+00	0.884	9.183E-03
output6.txt			10000	33.220	9.761E+00	184.746	1.072E+01	10.925	6.117E+00	3.880	12.971	36.799	9.572	96.563	1023.25	1.871	1.579E+00	0.882	9.169E-03
output28.txt		10000	33.227	9.875E+00	184.798	1.068E+01	10.844	6.154E+00	3.890	13.037	37.147	9.489	95.112	1003.58	1.859	1.573E+00	0.885	9.179E-03
